;Code agence;Zone;Poids_total;Total_agence;% Poids
0;NT14G;Zone 1;5430795.172;8641606.494;62.84
1;NT14G;Zone 2;2598792.9729999998;8641606.494;30.07
2;NT14G;Zone 3;612018.349;8641606.494;7.08
3;NT50S;Zone 1;966310.5229999999;2409035.583;40.11
4;NT50S;Zone 2;936880.4330000001;2409035.583;38.89
5;NT50S;Zone 3;505844.627;2409035.583;21.0
6;NT50T;Zone 1;1253812.991;1545283.578;81.14
7;NT50T;Zone 2;291470.587;1545283.578;18.86
8;NT50V;Zone 1;937694.987;2777981.622;33.75
9;NT50V;Zone 2;1787047.715;2777981.622;64.33
10;NT50V;Zone 3;53238.920000000006;2777981.622;1.92
11;NT61L;Zone 1;697202.5059999999;3215685.674;21.68
12;NT61L;Zone 2;1066131.256;3215685.674;33.15
13;NT61L;Zone 3;1452351.912;3215685.674;45.16
