Code agence;Commune;Tournee;Code INSEE;Latitude;Longitude;CP;Zone;UM;Poids
NT14G;ABLON;13, 28;14001;49.393054962158;0.295832991600039;14600;Zone 3;56.0;2734.405
NT14G;ACQUEVILLE;27;14002;48.9730567932128;-0.368055999279021;14220;Zone 2;8.0;358.0
NT50T;ACQUEVILLE;2, 4;50001;49.6105575561518;-1.74749994277951;50440;Zone 1;24.0;1672.0
NT50S;AGNEAUX;1, 10, 17, 2, 3, 4, 5, 50S1, 7;50002;49.1163902282711;-1.11249995231628;50180;Zone 1;5482.0;291916.068
NT50V;AGON COUTAINVILLE;10, 13, 21, 9;50003;49.042499542236;-1.57527804374692;50230;Zone 2;959.0;34005.257
NT14G;AGY;51;14003;49.2397232055658;-0.764443993568404;14400;Zone 2;7.0;670.0
NT50S;AIGNERVILLE;11;14004;49.320831298828;-0.921110987663274;14710;Zone 2;2.0;40.0
NT61L;AILLIERES BEAUVOIR;16;72002;48.4028;0.324669;72600;Zone 2;3.0;418.0
NT14G;AIRAN;29;14005;49.1005554199222;-0.14916700124741;14370;Zone 1;7.0;373.0
NT50S;AIREL;2, 8;50004;49.2236099243159;-1.08083295822141;50680;Zone 2;25.0;2549.311
NT61L;ALENCON;1, 10, 11, 12, 13, 14, 15, 16, 18, 2, 21, 23, 26, 35, 36, 4, 40, 5, 8, 95;61001;48.4330558776858;0.0888890027999852;61000;Zone 1;7448.0;456460.803
NT61L;ALMENECHES;24;61002;48.6974983215328;0.112222000956537;61570;Zone 2;16.0;848.02
NT14G;AMAYE SUR ORNE;23, 26;14006;49.0855560302729;-0.43944400548935;14210;Zone 1;23.0;1739.6599999999999
NT50S;AMAYE SUR SEULLES;10;14007;49.0786094665531;-0.714443981647511;14310;Zone 2;24.0;1844.0
NT14G;AMBLIE;39;14008;49.289443969727;-0.486389011144642;14480;Zone 2;1.0;5.0
NT14G;AMFREVILLE;38;14009;49.2491683959957;-0.23472200334072;14860;Zone 1;74.0;2473.362
NT50S;AMFREVILLE;4, 9;50005;49.4105567932131;-1.38888895511629;50480;Zone 3;8.0;128.0
NT50S;AMIGNY;8;50006;49.1572227478032;-1.17916703224183;50620;Zone 1;10.0;351.0
NT61L;ANCEINS;5, 6;61003;48.8636093139652;0.502499997615808;61550;Zone 3;11.0;1406.8999999999999
NT61L;ANCINNES;16;72005;48.4325951;0.1261572;72610;Zone 1;5.0;645.0
NT50V;ANCTEVILLE;13;50007;49.1025009155272;-1.4780559539795;50200;Zone 2;1.0;60.0
NT14G;ANCTOVILLE;23, 26;14011;49.1049995422362;-0.709443986415878;14240;Zone 2;14.0;904.3
NT50V;ANCTOVILLE SUR BOSCQ;10, 8;50008;48.8452796936042;-1.53305602073671;50400;Zone 2;10.0;934.91
NT14G;ANGERVILLE;24, 52;14012;49.239444732666;-0.0305560007691381;14430;Zone 2;26.0;805.1
NT50V;ANGEY;21;50009;48.7530555725101;-1.4905560016632;50530;Zone 2;1.0;101.0
NT50S;ANGOVILLE AU PLAIN;4;50010;49.3494453430182;-1.25250005722049;50480;Zone 2;7.0;74.0
NT50S;ANGOVILLE SUR AY;9;50012;49.2536125183108;-1.5480560064316;50430;Zone 3;1.0;40.6
NT14G;ANGUERNY;39;14014;49.2669448852539;-0.400278002023701;14610;Zone 1;16.0;149.8
NT14G;ANISY;39;14015;49.2519454956051;-0.391389012336728;14610;Zone 1;38.0;1219.8
NT14G;ANNEBAULT;24, 38, 52;14016;49.25305557251;0.0575000010430789;14430;Zone 2;77.0;3598.097
NT50V;ANNEBECQ;15;14017;48.9077;-0.972732;14380;Zone 2;2.0;150.0
NT50T;ANNEVILLE EN SAIRE;8;50013;49.6361122131353;-1.28499996662142;50760;Zone 2;65.0;1816.35
NT50V;ANNOVILLE;10, 13, 9;50015;48.9688873291019;-1.53527796268461;50660;Zone 2;28.0;1766.24
