Agence entree reseau;Agence sortie reseau;D‚partement;INSEE;Cp;Ville;PS;Correspondant;Ligne depart;UM;Poids;Latitude;Longitude;Zone
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14001;14600;ABLON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;13;2;440;49.393054962158;0.295832991600039;Zone 3
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14005;14370;VALAMBRAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;200;49.1005554199222;-0.14916700124741;Zone 1
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14005;14370;VALAMBRAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;80;49.1005554199222;-0.14916700124741;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14005;14370;VALAMBRAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;505;49.1005554199222;-0.14916700124741;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14005;14370;VALAMBRAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;27;1;1;49.1005554199222;-0.14916700124741;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14005;14370;VALAMBRAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;27;1;208;49.1005554199222;-0.14916700124741;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14006;14210;AMAYE SUR ORNE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;26;2;399;49.0855560302729;-0.43944400548935;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14006;14210;AMAYE SUR ORNE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;26;2;500;49.0855560302729;-0.43944400548935;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14007;14310;AMAYE SUR SEULLES;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;225.34;49.0786094665531;-0.714443981647511;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 50 ST LO;14;14007;14310;AMAYE SUR SEULLES;[NT50S] NORMATRANS 50 ST LO;NT50S;10;2;1000;49.0786094665531;-0.714443981647511;Zone 2
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14009;14860;AMFREVILLE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;1250;49.2491683959957;-0.23472200334072;Zone 1
NORMATRANS 50 ST LO;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;1000;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;ANCTOVILLE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;23;1;480;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;180;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;1000;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;ANCTOVILLE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;26;2;780;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;26;1;1000;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;200;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;1000;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14011;14240;AURSEULLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;26;1;1000;49.1049995422362;-0.709443986415878;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14014;14610;COLOMBY ANGUERNY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;426;49.2669448852539;-0.400278002023701;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14016;14430;ANNEBAULT;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;52;1;525;49.25305557251;0.0575000010430789;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14016;14430;ANNEBAULT;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;52;1;595;49.25305557251;0.0575000010430789;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14016;14430;ANNEBAULT;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;52;1;302;49.25305557251;0.0575000010430789;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14019;14400;ARGANCHY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;51;1;400;49.235000610352;-0.741388976573919;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;3;249;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;1;360;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;3;412;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;3;282;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;515;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;2;820;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;3;207;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;1;820;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;983;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;390;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;200;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;4;337;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;500;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;680;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;415;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;327.6;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;1;315;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;637;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;54;2;759;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;000PAQ;1;309;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;3;1094;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;3;230;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;230;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;250;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;470;49.1269454956047;-0.16361099481583;Zone 1
