Code agence;Zone;Nb_expeditions;Total_expeditions;% d'exp‚ditions
NT14G;Zone 1;42923;69502;61.76
NT14G;Zone 2;21956;69502;31.59
NT14G;Zone 3;4623;69502;6.65
NT50S;Zone 1;7961;19418;41.00
NT50S;Zone 2;7143;19418;36.79
NT50S;Zone 3;4314;19418;22.22
NT50T;Zone 1;11724;14345;81.73
NT50T;Zone 2;2621;14345;18.27
NT50V;Zone 1;7579;22474;33.72
NT50V;Zone 2;14343;22474;63.82
NT50V;Zone 3;552;22474;2.46
NT61L;Zone 1;4754;21980;21.63
NT61L;Zone 2;7264;21980;33.05
NT61L;Zone 3;9962;21980;45.32
