Code agence;Zone;Nb_exp;Total_expeditions;% d'expéditions
NT14G;Zone 1;42923.0;69502.0;61.76
NT14G;Zone 2;21956.0;69502.0;31.59
NT14G;Zone 3;4623.0;69502.0;6.65
NT50S;Zone 1;7961.0;19418.0;41.0
NT50S;Zone 2;7143.0;19418.0;36.79
NT50S;Zone 3;4314.0;19418.0;22.22
NT50T;Zone 1;11724.0;14345.0;81.73
NT50T;Zone 2;2621.0;14345.0;18.27
NT50V;Zone 1;7579.0;22474.0;33.72
NT50V;Zone 2;14343.0;22474.0;63.82
NT50V;Zone 3;552.0;22474.0;2.46
NT61L;Zone 1;4754.0;21980.0;21.63
NT61L;Zone 2;7264.0;21980.0;33.05
NT61L;Zone 3;9962.0;21980.0;45.32
